"Nazwisko.i.imiona","Nazwa.komitetu","imie","nazwisko"
"Szymon Andrzej SZYNKOWSKI VEL SĘK","PIS","Szymon","SĘK"
"Łukasz Andrzej ŚCIEBIOROWSKI","KO","Łukasz","ŚCIEBIOROWSKI"
"Agnieszka ŚCIGAJ","PIS","Agnieszka","ŚCIGAJ"
"Andrzej ŚLIWKA","PIS","Andrzej","ŚLIWKA"
"Paweł Marek ŚLIZ","Trzecia Droga","Paweł","ŚLIZ"
"Krzysztof Jan ŚMISZEK","Lewica","Krzysztof","ŚMISZEK"
"Jacek ŚWIAT","PIS","Jacek","ŚWIAT"
"Apoloniusz Leopold TAJNER","KO","Apoloniusz","TAJNER"
"Krzysztof Józef TCHÓRZEWSKI","PIS","Krzysztof","TCHÓRZEWSKI"
"Robert TELUS","PIS","Robert","TELUS"
"Ryszard Iwon TERLECKI","PIS","Ryszard","TERLECKI"
"Tadeusz TOMASZEWSKI","Lewica","Tadeusz","TOMASZEWSKI"
"Jacek Jerzy TOMCZAK","Trzecia Droga","Jacek","TOMCZAK"
"Wioleta Barbara TOMCZAK","Trzecia Droga","Wioleta","TOMCZAK"
"Cezary Józef TOMCZYK","KO","Cezary","TOMCZYK"
"Stanisław TOMCZYSZYN","Trzecia Droga","Stanisław","TOMCZYSZYN"
"Małgorzata Elżbieta TRACZ","KO","Małgorzata","TRACZ"
"Tomasz Dominik TRELA","Lewica","Tomasz","TRELA"
"Krzysztof TRUSKOLASKI","KO","Krzysztof","TRUSKOLASKI"
"Krzysztof TUDUJ","Konfederacja","Krzysztof","TUDUJ"
"Sylwester Karol TUŁAJEW","PIS","Sylwester","TUŁAJEW"
"Witold Sławomir TUMANOWICZ","Konfederacja","Witold","TUMANOWICZ"
"Donald Franciszek TUSK","KO","Donald","TUSK"
"Stanisław TYSZKA","Konfederacja","Stanisław","TYSZKA"
"Katarzyna UEBERHAN","Lewica","Katarzyna","UEBERHAN"
"Jarosław Piotr URBANIAK","KO","Jarosław","URBANIAK"
"Piotr Marcin URUSKI","PIS","Piotr","URUSKI"
"Piotr Michał UŚCIŃSKI","PIS","Piotr","UŚCIŃSKI"
"Jarosław Leszek WAŁĘSA","KO","Jarosław","WAŁĘSA"
"Marcin Józef WARCHOŁ","PIS","Marcin","WARCHOŁ"
"Robert Marian WARDZAŁA","KO","Robert","WARDZAŁA"
"Robert Piotr WARWAS","PIS","Robert","WARWAS"
"Jan Marek WARZECHA","PIS","Jan","WARZECHA"
"Małgorzata Ewa WASSERMANN","PIS","Małgorzata","WASSERMANN"
"Michał Jan WAWER","Konfederacja","Michał","WAWER"
"Maciej Roman WĄSIK","PIS","Maciej","WĄSIK"
"Marta Anna WCISŁO","KO","Marta","WCISŁO"
"Rafał WEBER","PIS","Rafał","WEBER"
"Marek Jacek WESOŁY","PIS","Marek","WESOŁY"
"Joanna Beata WICHA","Lewica","Joanna","WICHA"
"Patryk Tomasz WICHER","PIS","Patryk","WICHER"
"Dariusz Krzysztof WIECZOREK","Lewica","Dariusz","WIECZOREK"
"Jarosław Wiesław WIECZOREK","PIS","Jarosław","WIECZOREK"
"Monika WIELICHOWSKA","KO","Monika","WIELICHOWSKA"
"Ryszard Jakub WILK","Konfederacja","Ryszard","WILK"
"Teresa WILK","PIS","Teresa","WILK"
"Przemysław Janusz WIPLER","Konfederacja","Przemysław","WIPLER"
"Aleksandra Karolina WIŚNIEWSKA","KO","Aleksandra","WIŚNIEWSKA"
"Adrian WITCZAK","KO","Adrian","WITCZAK"
"Mariusz Sebastian WITCZAK","KO","Mariusz","WITCZAK"
"Elżbieta Barbara WITEK","PIS","Elżbieta","WITEK"
"Przemysław Jarosław WITEK","KO","Przemysław","WITEK"
"Kamil Wiesław WNUK","Trzecia Droga","Kamil","WNUK"
"Anna WOJCIECHOWSKA","KO","Anna","WOJCIECHOWSKA"
"Agnieszka Krystyna WOJCIECHOWSKA VAN HEUKELOM","PIS","Agnieszka","HEUKELOM"
"Agata Katarzyna WOJTYSZEK","PIS","Agata","WOJTYSZEK"
"Bogusław WOŁOSZAŃSKI","KO","Bogusław","WOŁOSZAŃSKI"
"Michał Piotr WOŚ","PIS","Michał","WOŚ"
"Grzegorz Adam WOŹNIAK","PIS","Grzegorz","WOŹNIAK"
"Tadeusz Jacek WOŹNIAK","PIS","Tadeusz","WOŹNIAK"
"Michał Marek WÓJCIK","PIS","Michał","WÓJCIK"
"Maciej Stanisław WRÓBEL","KO","Maciej","WRÓBEL"
"Bartłomiej Piotr WRÓBLEWSKI","PIS","Bartłomiej","WRÓBLEWSKI"
"Paweł Ksawery ZALEWSKI","Trzecia Droga","Paweł","ZALEWSKI"
"Adrian Tadeusz ZANDBERG","Lewica","Adrian","ZANDBERG"
"Andrzej Tomasz ZAPAŁOWSKI","Konfederacja","Andrzej","ZAPAŁOWSKI"
"Bartosz Józef ZAWIEJA","KO","Bartosz","ZAWIEJA"
"Marcelina Monika ZAWISZA","Lewica","Marcelina","ZAWISZA"
"Sławomir ZAWIŚLAK","PIS","Sławomir","ZAWIŚLAK"
"Bogdan Andrzej ZDROJEWSKI","KO","Bogdan","ZDROJEWSKI"
"Witold Maciej ZEMBACZYŃSKI","KO","Witold","ZEMBACZYŃSKI"
"Piotr ZGORZELSKI","Trzecia Droga","Piotr","ZGORZELSKI"
"Zbigniew ZIEJEWSKI","Trzecia Droga","Zbigniew","ZIEJEWSKI"
"Urszula Sara ZIELIŃSKA","KO","Urszula","ZIELIŃSKA"
"Jarosław ZIELIŃSKI","PIS","Jarosław","ZIELIŃSKI"
"Tomasz Andrzej ZIELIŃSKI","PIS","Tomasz","ZIELIŃSKI"
"Jolanta ZIĘBA-GZIK","Trzecia Droga","Jolanta","ZIĘBA-GZIK"
"Tomasz Franciszek ZIMOCH","Trzecia Droga","Tomasz","ZIMOCH"
"Zbigniew Tadeusz ZIOBRO","PIS","Zbigniew","ZIOBRO"
"Wojciech Michał ZUBOWSKI","PIS","Wojciech","ZUBOWSKI"
"Ireneusz ZYSKA","PIS","Ireneusz","ZYSKA"
"Bożena Jadwiga ŻELAZOWSKA","Trzecia Droga","Bożena","ŻELAZOWSKA"
"Anna Maria ŻUKOWSKA","Lewica","Anna","ŻUKOWSKA"
