"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Płeć";"Zawód";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Przynależność do partii";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy przyznano mandat"
1;1;2;"Paweł Piotr KLESZCZ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"politolog";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Bezpartyjni Samorządowcy-Łączy nas Polska";"";3397;"20,28";"0,68";"Nie"
1;1;3;"Katarzyna Aneta GRZELAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"wyższy urzędnik samorządowy";"Zawidów";"022501";"m. Zawidów";"nie należy do partii politycznej";"";1330;"7,94";"0,27";"Nie"
1;1;4;"Jarosław KOWALSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"inżynier budownictwa";"Bolesławiec";"020101";"m. Bolesławiec";"nie należy do partii politycznej";"";896;"5,35";"0,18";"Nie"
1;1;5;"Bartłomiej Błażej RODAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"rzecznik prasowy";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";495;"2,96";"0,10";"Nie"
1;1;6;"Mariusz KOZAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"przedsiębiorca";"Trzęsów";"021603";"gm. Grębocice";"nie należy do partii politycznej";"";905;"5,40";"0,18";"Nie"
1;1;7;"Alicja SZKLARSKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"emeryt";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";1058;"6,32";"0,21";"Nie"
1;1;8;"Tomasz MALCZEWSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"nauczyciel";"Lwówek Śląski";"021203";"gm. Lwówek Śląski";"nie należy do partii politycznej";"";394;"2,35";"0,08";"Nie"
1;1;9;"Adriana Stefania WOJDAK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"specjalista administracji publicznej";"Bielawa Dolna";"022504";"gm. Pieńsk";"nie należy do partii politycznej";"";321;"1,92";"0,06";"Nie"
1;1;10;"Krzysztof Witold STRYNKOWSKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"specjalista ochrony środowiska";"Raczkowa";"020905";"gm. Legnickie Pole";"nie należy do partii politycznej";"";363;"2,17";"0,07";"Nie"
1;1;11;"Beata CASTAÑEDA TRUJILLO";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"ekonomista";"Krotoszyce";"020903";"gm. Krotoszyce";"nie należy do partii politycznej";"";369;"2,20";"0,07";"Nie"
1;1;12;"Hubert Wojciech PAPAJ";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"specjalista do spraw zarządzania";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";940;"5,61";"0,19";"Nie"
1;1;13;"Kinga GĘSICKA-BIAŁY";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"technik handlowiec";"Tomaszów Bolesławiecki";"020106";"gm. Warta Bolesławiecka";"nie należy do partii politycznej";"";449;"2,68";"0,09";"Nie"
1;1;14;"Maciej Jan CIEŚLA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"nauczyciel";"Chojnów";"020901";"m. Chojnów";"nie należy do partii politycznej";"";350;"2,09";"0,07";"Nie"
1;1;15;"Andrzej Marek MIELOCH";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"politolog";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";218;"1,30";"0,04";"Nie"
1;1;16;"Izabela ZOBEL";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"emerytka";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";377;"2,25";"0,08";"Nie"
1;1;17;"Wiesław Jan BIENIEK";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"emeryt";"Lubawka";"020703";"gm. Lubawka";"nie należy do partii politycznej";"";272;"1,62";"0,05";"Nie"
1;1;18;"Agata Agnieszka KANAS-PASTWA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"ekonomista";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";182;"1,09";"0,04";"Nie"
1;1;19;"Karol KUSIBAB";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"specjalista administracji publicznej";"Leśna";"021003";"gm. Leśna";"nie należy do partii politycznej";"";667;"3,98";"0,13";"Nie"
1;1;20;"Tomasz Stanisław KAPRAL";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"górnik";"Złotoryja";"022602";"m. Złotoryja";"nie należy do partii politycznej";"";220;"1,31";"0,04";"Nie"
1;1;21;"Aleksandra WACH";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"specjalista administracji publicznej";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";410;"2,45";"0,08";"Nie"
1;1;22;"Ignacy PIĘTA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"emeryt";"Marcinowice";"020504";"gm. Mściwojów";"nie należy do partii politycznej";"";235;"1,40";"0,05";"Nie"
1;1;23;"Edyta TECLAF-ZAWADZKA";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Kobieta";"pośrednik w obrocie nieruchomościami";"Mrzeżyno";"320508";"gm. Trzebiatów";"nie należy do partii politycznej";"";137;"0,82";"0,03";"Nie"
1;1;24;"Norbert Romuald HŁADKI";"KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY";"Mężczyzna";"inżynier organizacji i planowania produkcji";"Zgorzelec";"022502";"m. Zgorzelec";"nie należy do partii politycznej";"";324;"1,93";"0,06";"Nie"
1;2;1;"Tadeusz SAMBORSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"emeryt";"Rogów Legnicki";"020907";"gm. Prochowice";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";16120;"29,88";"3,21";"Tak"
1;2;2;"Jan WOJTOWICZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"wyższy urzędnik samorządowy";"Biedrzychowa";"021604";"gm. Polkowice";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";8117;"15,04";"1,62";"Nie"
1;2;3;"Mariola SZCZĘSNA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"przedstawiciel władzy samorządowej";"Mojesz";"021203";"gm. Lwówek Śląski";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";7639;"14,16";"1,52";"Nie"
1;2;4;"Krystyna Henryka BARCIK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"ekonomista";"Legnica";"026201";"m. Legnica";"nie należy do partii politycznej";"";2033;"3,77";"0,41";"Nie"
1;2;5;"Artur Andrzej JURKOWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"przedstawiciel władzy samorządowej";"Ruszowice";"020302";"gm. Głogów";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";1443;"2,67";"0,29";"Nie"
1;2;6;"Arkadiusz Paweł ROJEWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"politolog";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";1294;"2,40";"0,26";"Nie"
1;2;7;"Olga BURDYNA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"emerytka";"Żeliszów";"020102";"gm. Bolesławiec";"nie należy do partii politycznej";"";2059;"3,82";"0,41";"Nie"
1;2;8;"Jacek Paweł SUBOCZEWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"nauczyciel";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";1210;"2,24";"0,24";"Nie"
1;2;9;"Zofia RAK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"emerytka";"Gryfów Śląski";"021201";"gm. Gryfów Śląski";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";1983;"3,68";"0,40";"Nie"
1;2;10;"Waldemar KUBAS";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"dyrektor logistyki";"Olbrachtowice";"022307";"gm. Sobótka";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";985;"1,83";"0,20";"Nie"
1;2;11;"Jan Franciszek GRYGORCEWICZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"emeryt";"Granowice";"020506";"gm. Wądroże Wielkie";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";797;"1,48";"0,16";"Nie"
1;2;12;"Edyta Rozalia KRAJNIAK-BURBA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"doradca handlowy";"Zgorzelec";"022502";"m. Zgorzelec";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";973;"1,80";"0,19";"Nie"
1;2;13;"Józef Adam NADOLNY";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"nauczyciel przedmiotów zawodowych technicznych";"Piechowice";"020603";"m. Piechowice";"nie należy do partii politycznej";"";732;"1,36";"0,15";"Nie"
1;2;14;"Krzysztof Wojciech PITNER";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"kierowca";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";337;"0,62";"0,07";"Nie"
1;2;15;"Bartosz ŁASICA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"rolnik";"Nawojów Łużycki";"021004";"gm. Lubań";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";1113;"2,06";"0,22";"Nie"
1;2;16;"Aleksandra CHOMICZ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"urzędnik";"Pisarzowice";"021004";"gm. Lubań";"nie należy do partii politycznej";"popierana przez partię polityczną: Polska 2050 Szymona Hołowni";1319;"2,44";"0,26";"Nie"
1;2;17;"Marek Mirosław STAROŃ";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"redaktor serwisu internetowego";"Polkowice";"021604";"gm. Polkowice";"nie należy do partii politycznej";"";877;"1,63";"0,17";"Nie"
1;2;18;"Arkadiusz Bogdan CHYL";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"adwokat";"Bogatynia";"022503";"gm. Bogatynia";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";395;"0,73";"0,08";"Nie"
1;2;19;"Sonia Krystyna TURZYNIECKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"emeryt";"Bolesławiec";"020101";"m. Bolesławiec";"nie należy do partii politycznej";"";380;"0,70";"0,08";"Nie"
1;2;20;"Agata Krystyna SAJDYK";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"technik administracji";"Gawrony";"021103";"gm. Rudna";"nie należy do partii politycznej";"popierana przez partię polityczną: Polska 2050 Szymona Hołowni";634;"1,17";"0,13";"Nie"
1;2;21;"Wojciech Bartłomiej SMOLIŃSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"prawnik";"Wrocław";"026401";"m. Wrocław";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";734;"1,36";"0,15";"Nie"
1;2;22;"Jolanta Ewa SKAWIŃSKA-KOSTKA";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Kobieta";"agent ubezpieczeniowy";"Stara Kraśnica";"022604";"gm. Świerzawa";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";542;"1,00";"0,11";"Nie"
1;2;23;"Marcin Karol KRASOWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"informatyk";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Polskie Stronnictwo Ludowe";"";591;"1,10";"0,12";"Nie"
1;2;24;"Tomasz Oskar STRYKOWSKI";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"Mężczyzna";"przedsiębiorca";"Łagów";"022507";"gm. Zgorzelec";"członek partii politycznej: Polska 2050 Szymona Hołowni";"";1651;"3,06";"0,33";"Nie"
1;3;1;"Arkadiusz SIKORA";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"ekonomista";"Oleśnica";"021401";"m. Oleśnica";"członek partii politycznej: Nowa Lewica";"";12048;"25,25";"2,40";"Tak"
1;3;2;"Robert Marcin OBAZ";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"przedsiębiorca";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Nowa Lewica";"";4124;"8,64";"0,82";"Nie"
1;3;3;"Kaja FILACZYŃSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"lekarz";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Lewica Razem";"";8663;"18,16";"1,73";"Nie"
1;3;4;"Jeremi Adam HOŁOWNIA";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"inż. elektryk";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Unia Pracy";"";6526;"13,68";"1,30";"Nie"
1;3;5;"Joanna Agnieszka PIOTROWICZ-DĘBICKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"prawnik";"Jawor";"020501";"m. Jawor";"członek partii politycznej: Nowa Lewica";"";1965;"4,12";"0,39";"Nie"
1;3;6;"Rafał MIARA";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"ekonomista";"Złotoryja";"022602";"m. Złotoryja";"członek partii politycznej: Nowa Lewica";"";1901;"3,98";"0,38";"Nie"
1;3;7;"Agnieszka Iga BEM";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"nauczyciel akademicki";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Nowa Lewica";"";1672;"3,50";"0,33";"Nie"
1;3;8;"Magdalena Weronika CZUCHRYTA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"politolog";"Lubań";"021001";"m. Lubań";"członek partii politycznej: Nowa Lewica";"";1502;"3,15";"0,30";"Nie"
1;3;9;"Krzysztof DZIARMAGA";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"ślusarz-mechanik";"Chojnów";"020901";"m. Chojnów";"członek partii politycznej: Lewica Razem";"";470;"0,99";"0,09";"Nie"
1;3;10;"Piotr Jerzy PACZÓSKI";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"ekonomista";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Nowa Lewica";"";905;"1,90";"0,18";"Nie"
1;3;11;"Leszek Kazimierz GRZYB";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"przedsiębiorca";"Zgorzelec";"022502";"m. Zgorzelec";"członek partii politycznej: Nowa Lewica";"";867;"1,82";"0,17";"Nie"
1;3;12;"Danuta GAJLEWICZ";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"technik ekg";"Bolesławiec";"020101";"m. Bolesławiec";"członek partii politycznej: Nowa Lewica";"";580;"1,22";"0,12";"Nie"
1;3;13;"Sebastian STYCHARZ";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"nauczyciel";"Olszyna";"021005";"gm. Olszyna";"członek partii politycznej: Nowa Lewica";"";677;"1,42";"0,13";"Nie"
1;3;14;"Elżbieta Malwina KACZMAREK";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"pracownik produkcji i kontroli jakości";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Nowa Lewica";"";672;"1,41";"0,13";"Nie"
1;3;15;"Łukasz KLIMOWSKI";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"pracownik administracji";"Bolesławiec";"020101";"m. Bolesławiec";"członek partii politycznej: Nowa Lewica";"";356;"0,75";"0,07";"Nie"
1;3;16;"Klaudia Maja KLIMCZEWSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"specjalistka prawa pracy";"Warszawa";"146507";"Praga-Południe";"członek partii politycznej: Nowa Lewica";"";635;"1,33";"0,13";"Nie"
1;3;17;"Marek Piotr KACPRZAK";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"emeryt";"Smolnik";"021003";"gm. Leśna";"członek partii politycznej: Lewica Razem";"";260;"0,54";"0,05";"Nie"
1;3;18;"Czesława BŁAUT";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"mechanik automatyki przemysłowej i urządzeń precyzyjnych";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Nowa Lewica";"";316;"0,66";"0,06";"Nie"
1;3;19;"Łukasz Paweł GRZEŚKOWICZ";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"geolog";"Strzeszów";"022004";"gm. Wisznia Mała";"członek partii politycznej: Nowa Lewica";"";163;"0,34";"0,03";"Nie"
1;3;20;"Elżbieta BAJER";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"pedagog";"Jelenia Góra";"026101";"m. Jelenia Góra";"nie należy do partii politycznej";"";700;"1,47";"0,14";"Nie"
1;3;21;"Kornel Tadeusz ŚLUSARZ";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"logistyk";"Krzeszów";"020702";"gm. Kamienna Góra";"członek partii politycznej: Lewica Razem";"";409;"0,86";"0,08";"Nie"
1;3;22;"Zuzanna Anna KRÓLAK";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"lekarz weterynarii";"Gryfów Śląski";"021201";"gm. Gryfów Śląski";"członek partii politycznej: Lewica Razem";"";1047;"2,19";"0,21";"Nie"
1;3;23;"Agnieszka JANUCHOWSKA";"KOMITET WYBORCZY NOWA LEWICA";"Kobieta";"prawnik";"Jawor";"020501";"m. Jawor";"członek partii politycznej: Nowa Lewica";"";608;"1,27";"0,12";"Nie"
1;3;24;"Sławomir Adam GADEK";"KOMITET WYBORCZY NOWA LEWICA";"Mężczyzna";"inżynier mechanik - środki transportu";"Jerzmanowa";"020303";"gm. Jerzmanowa";"członek partii politycznej: Lewica Razem";"";649;"1,36";"0,13";"Nie"
1;4;1;"Elżbieta Barbara WITEK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"nauczyciel";"Jawor";"020501";"m. Jawor";"członek partii politycznej: Prawo i Sprawiedliwość";"";89172;"51,06";"17,77";"Tak"
1;4;2;"Marzena Anna MACHAŁEK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"nauczyciel";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Prawo i Sprawiedliwość";"";18363;"10,51";"3,66";"Tak"
1;4;3;"Szymon Marek POGODA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Bolesławiec";"020101";"m. Bolesławiec";"członek partii politycznej: Prawo i Sprawiedliwość";"";10117;"5,79";"2,02";"Tak"
1;4;4;"Krzysztof Jan KUBÓW";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Prawo i Sprawiedliwość";"";15928;"9,12";"3,17";"Tak"
1;4;5;"Stanisław Adam ŻUK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"emeryt";"Zawidów";"022501";"m. Zawidów";"nie należy do partii politycznej";"";4491;"2,57";"0,89";"Nie"
1;4;6;"Wojciech Michał ZUBOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"parlamentarzysta";"Głogów";"020301";"m. Głogów";"członek partii politycznej: Prawo i Sprawiedliwość";"";8527;"4,88";"1,70";"Tak"
1;4;7;"Ewa Zofia SZYMAŃSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"parlamentarzysta";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Prawo i Sprawiedliwość";"";4039;"2,31";"0,80";"Nie"
1;4;8;"Adam BABUŚKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"przedstawiciel władzy samorządowej - starosta";"Nowa Wieś Legnicka";"020905";"gm. Legnickie Pole";"członek partii politycznej: Prawo i Sprawiedliwość";"";1755;"1,00";"0,35";"Nie"
1;4;9;"Bogusław Stanisław BARNAŚ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"rolnik";"Rzeczyca";"021603";"gm. Grębocice";"członek partii politycznej: Prawo i Sprawiedliwość";"";744;"0,43";"0,15";"Nie"
1;4;10;"Teresa ZEMBIK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"nauczyciel";"Lubań";"021001";"m. Lubań";"członek partii politycznej: Prawo i Sprawiedliwość";"";1541;"0,88";"0,31";"Nie"
1;4;11;"Marta Kamila WISŁOCKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"przedstawiciel władzy samorządowej - radna";"Legnica";"026201";"m. Legnica";"członek partii politycznej: Prawo i Sprawiedliwość";"";1131;"0,65";"0,23";"Nie"
1;4;12;"Jarosław Andrzej GĘBORYS";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"ekonomista";"Kamienna Góra";"020701";"m. Kamienna Góra";"członek partii politycznej: Prawo i Sprawiedliwość";"";956;"0,55";"0,19";"Nie"
1;4;13;"Wojciech Stanisław DOBROŁOWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"wyższy urzędnik samorządowy - burmistrz";"Gronów";"022507";"gm. Zgorzelec";"członek partii politycznej: Prawo i Sprawiedliwość";"";2763;"1,58";"0,55";"Nie"
1;4;14;"Piotr Adam KARWAN";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"ekonomista";"Radwanice";"021606";"gm. Radwanice";"członek partii politycznej: Prawo i Sprawiedliwość";"";1681;"0,96";"0,33";"Nie"
1;4;15;"Paweł KURA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"przedstawiciel władzy samorządowej - radny";"Lubin";"021101";"m. Lubin";"członek partii politycznej: Prawo i Sprawiedliwość";"";5990;"3,43";"1,19";"Nie"
1;4;16;"Roman Władysław ROZMYSŁOWSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"dyrektor";"Biedrzychowa";"021604";"gm. Polkowice";"członek partii politycznej: Prawo i Sprawiedliwość";"";899;"0,51";"0,18";"Nie"
1;4;17;"Alina Ewa SUDOŁ-KORNALEWICZ";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"leśnik";"Piechowice";"020603";"m. Piechowice";"członek partii politycznej: Prawo i Sprawiedliwość";"";564;"0,32";"0,11";"Nie"
1;4;18;"Dorota BOJAKOWSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"administratywista";"Bogatynia";"022503";"gm. Bogatynia";"członek partii politycznej: Prawo i Sprawiedliwość";"";531;"0,30";"0,11";"Nie"
1;4;19;"Anna Agnieszka MELSKA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"nauczyciel";"Złotoryja";"022602";"m. Złotoryja";"członek partii politycznej: Prawo i Sprawiedliwość";"";569;"0,33";"0,11";"Nie"
1;4;20;"Józef RYPIŃSKI";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"emeryt";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Suwerenna Polska";"";1021;"0,58";"0,20";"Nie"
1;4;21;"Joanna WILCZYŃSKA-DOLIBA";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Kobieta";"kierownik biura";"Wesołówka";"021007";"gm. Siekierczyn";"członek partii politycznej: Prawo i Sprawiedliwość";"";517;"0,30";"0,10";"Nie"
1;4;22;"Wojciech Paweł LESZCZYK";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"Mężczyzna";"fizyk";"Jelenia Góra";"026101";"m. Jelenia Góra";"członek partii politycznej: Prawo i Sprawiedliwość";"";480;"0,27";"0,10";"Nie"
